Accession_ID	Genotype	Date	Host	Continent	Country	City	Longitude	Latitude
EPI_ISL_19902402	II-ECSA	2025-02-26	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902403	II-ECSA	2025-01-08	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902404	II-ECSA	2025-03-22	Human	Africa	Mayotte	NA	45.2	-12.8
EPI_ISL_19902405	II-ECSA	2025-01-07	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902406	II-ECSA	2024-11-25	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902407	II-ECSA	2025-03-19	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902408	II-ECSA	2025-03-01	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902409	II-ECSA	2025-03-05	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902410	II-ECSA	2025-01-31	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902411	II-ECSA	2025-01-30	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902412	II-ECSA	2024-08-27	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902413	II-ECSA	2024-12-12	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902414	II-ECSA	2024-12-27	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902415	II-ECSA	2025-03-31	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902416	II-ECSA	2024-12-18	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902417	II-ECSA	2025-01-20	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902418	II-ECSA	2024-12-11	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902419	II-ECSA	2024-12-27	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902420	II-ECSA	2025-02-19	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902421	II-ECSA	2025-03-02	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902422	II-ECSA	2025-03-20	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902423	II-ECSA	2024-12-28	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902424	II-ECSA	2025-03-26	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902425	II-ECSA	2025-01-15	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902426	II-ECSA	2025-01-06	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902427	II-ECSA	2025-01-31	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902428	II-ECSA	2025-01-10	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902429	II-ECSA	2025-02-18	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902430	II-ECSA	2025-01-03	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902431	II-ECSA	2025-01-24	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902432	II-ECSA	2025-01-24	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902433	II-ECSA	2025-02-17	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902434	II-ECSA	2024-11-18	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902435	II-ECSA	2024-12-26	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902436	II-ECSA	2025-03-31	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902437	II-ECSA	2024-09-16	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902438	II-ECSA	2024-12-18	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902439	II-ECSA	2025-03-30	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902441	II-ECSA	2024-11-22	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902442	II-ECSA	2024-11-14	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902443	II-ECSA	2024-11-25	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902458	II-ECSA	2025-04-02	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902459	II-ECSA	2025-04-12	Human	Africa	Mayotte	NA	45.2	-12.8
EPI_ISL_19902460	II-ECSA	2024-12-13	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902461	II-ECSA	2025-01-13	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902462	II-ECSA	2025-02-04	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902463	II-ECSA	2025-03-24	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902464	II-ECSA	2024-12-26	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902465	II-ECSA	2025-01-04	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902466	II-ECSA	2025-03-24	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902467	II-ECSA	2025-02-25	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902468	II-ECSA	2025-03-15	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902469	II-ECSA	2024-12-27	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902470	II-ECSA	2024-12-04	Human	Africa	Reunion	NA	55.5	-21.1
EPI_ISL_19902827	II-ECSA	2024-12-02	Human	South America	Brazil	Sergipe	-37.4	-10.9
EPI_ISL_19908622	II-ECSA	2025-03-19	Human	South America	Brazil	Mato Grosso do Sul	-55.9	-20.4
EPI_ISL_19908623	II-ECSA	2025-03-19	Human	South America	Brazil	Mato Grosso do Sul	-55.9	-20.4
EPI_ISL_19908624	II-ECSA	2025-03-19	Human	South America	Brazil	Mato Grosso do Sul	-55.9	-20.4
EPI_ISL_19908625	II-ECSA	2025-03-19	Human	South America	Brazil	Mato Grosso do Sul	-55.9	-20.4
EPI_ISL_19908626	II-ECSA	2025-03-24	Human	South America	Brazil	Mato Grosso do Sul	-55.9	-20.4
EPI_ISL_19908627	II-ECSA	2025-03-24	Human	South America	Brazil	Mato Grosso do Sul	-55.9	-20.4
EPI_ISL_19908628	II-ECSA	2025-03-24	Human	South America	Brazil	Mato Grosso do Sul	-55.9	-20.4
EPI_ISL_19908629	II-ECSA	2025-03-24	Human	South America	Brazil	Mato Grosso do Sul	-55.9	-20.4
EPI_ISL_19908630	II-ECSA	2025-03-24	Human	South America	Brazil	Mato Grosso do Sul	-55.9	-20.4
EPI_ISL_19908631	II-ECSA	2025-03-24	Human	South America	Brazil	Mato Grosso do Sul	-55.9	-20.4
EPI_ISL_19908632	II-ECSA	2025-03-25	Human	South America	Brazil	Mato Grosso do Sul	-55.9	-20.4
EPI_ISL_19908633	II-ECSA	2025-03-25	Human	South America	Brazil	Mato Grosso do Sul	-55.9	-20.4
EPI_ISL_19908634	II-ECSA	2025-03-25	Human	South America	Brazil	Mato Grosso do Sul	-55.9	-20.4
